event_time,event_type,product_id,category_code,brand,price,user_id,user_session
2010-04-01 14:51:00,view,20727,sport,BrandE,1.65,16351,sess_221958
2010-04-01 14:59:00,cart,20727,sport,BrandE,1.65,16351,sess_221958
2010-12-12 13:32:00,view,21584,home,BrandC,1.65,15998,sess_154886
2010-12-12 13:43:00,cart,21584,home,BrandC,1.65,15998,sess_154886
2011-06-06 09:12:00,view,22595,clothing,BrandE,0.85,14232,sess_275203
2010-10-19 12:15:00,view,22714,home,BrandD,0.42,17365,sess_818315
2010-10-19 12:27:00,cart,22714,home,BrandD,0.42,17365,sess_818315
2011-03-08 15:17:00,view,85194L,electronics,BrandA,0.85,14426,sess_358795
2010-11-09 12:29:00,view,22121,home,BrandD,5.95,14243,sess_970910
2011-03-15 16:47:00,view,20974,clothing,BrandD,0.65,13121,sess_552366
2011-06-03 15:37:00,view,23172,electronics,BrandC,1.65,15508,sess_655839
2010-06-18 12:04:00,view,21899,beauty,BrandA,0.65,16797,sess_665894
2010-06-18 12:08:00,cart,21899,beauty,BrandA,0.65,16797,sess_665894
2010-09-21 08:25:00,view,22411,home,BrandB,1.65,13802,sess_339629
2010-09-21 08:46:00,cart,22411,home,BrandB,1.65,13802,sess_339629
2010-09-21 09:23:00,purchase,22411,home,BrandB,1.65,13802,sess_339629
2011-07-19 13:01:00,view,22979,sport,BrandE,1.45,14178,sess_778843
2010-11-21 16:13:00,view,35957,electronics,BrandD,0.42,13230,sess_206530
2010-11-21 16:17:00,cart,35957,electronics,BrandD,0.42,13230,sess_206530
2011-04-20 13:59:00,view,23184,home,BrandD,4.95,13269,sess_308261
2011-04-20 14:17:00,cart,23184,home,BrandD,4.95,13269,sess_308261
2010-10-13 10:12:00,view,82484,home,BrandD,6.45,13267,sess_296769
2011-09-07 13:19:00,view,22030,sport,BrandA,0.42,13756,sess_635822
2010-02-25 18:58:00,view,22317,beauty,BrandB,2.95,14770,sess_320884
2010-12-06 17:16:00,view,22503,home,BrandA,29.95,17869,sess_448951
2010-12-06 17:44:00,cart,22503,home,BrandA,29.95,17869,sess_448951
2010-12-06 18:15:00,purchase,22503,home,BrandA,29.95,17869,sess_448951
2010-01-19 14:16:00,view,20749,beauty,BrandA,7.95,12437,sess_937646
2010-01-19 14:25:00,cart,20749,beauty,BrandA,7.95,12437,sess_937646
2010-02-09 11:50:00,view,21537,clothing,BrandC,4.25,14680,sess_233767
2010-06-18 11:21:00,view,22583,clothing,BrandA,2.55,14646,sess_113986
2010-05-23 12:07:00,view,22563,home,BrandA,1.25,17769,sess_234633
